,id_rank,shift_rank,delta
gen_health,1.0,1.0,0.0
income_pir,2.0,2.0,0.0
sleep_hours,3.0,3.0,0.0
sex_Female,4.0,4.0,0.0
current_smoker,5.0,6.0,1.0
age,6.0,5.0,-1.0
sedentary_min,7.0,8.0,1.0
sbp,8.0,7.0,-1.0
waist,9.0,17.0,8.0
high_bp_hx,10.0,11.0,1.0
bmi,11.0,15.0,4.0
hba1c,12.0,13.0,1.0
total_chol,13.0,12.0,-1.0
neutrophil_pct,14.0,18.0,4.0
wbc,15.0,23.0,8.0
education,16.0,9.0,-7.0
platelets,17.0,14.0,-3.0
haemoglobin,18.0,20.0,2.0
high_chol_hx,19.0,21.0,2.0
race_MexicanAmerican,20.0,28.0,8.0
hdl,21.0,16.0,-5.0
nlr,22.0,26.0,4.0
dbp,23.0,10.0,-13.0
race_OtherHispanic,24.0,24.0,0.0
race_NH_White,25.0,19.0,-6.0
lymphocyte_pct,26.0,25.0,-1.0
sex_Male,27.0,22.0,-5.0
stroke_hx,28.0,30.0,2.0
cancer_hx,29.0,27.0,-2.0
race_NH_Black,30.0,32.0,2.0
race_Other_Multi,31.0,31.0,0.0
chd_hx,32.0,33.0,1.0
diabetes,33.0,29.0,-4.0
